action_name,matched_key,bucket,claude_verdict
030/dive-action,030/dive-action,maybe,y
06393993/lcov-reporter-action,06393993/lcov-reporter-action,maybe,y
0xbillw/install-rust-substrate-action,0xbillw/install-rust-substrate-action,maybe,n
0xcaso/label-stale-pull-requests,0xcaso/label-stale-pull-requests,maybe,
0xpolygon/polygon-edge/.github/workflows/build.yml,0xpolygon/polygon-edge,maybe,n
0xpolygon/polygon-edge/.github/workflows/loadbot.yml,0xpolygon/polygon-edge,maybe,n
0xpolygon/polygon-edge/.github/workflows/pandoras_box.yml,0xpolygon/polygon-edge,maybe,n
0xpolygon/polygon-edge/.github/workflows/security.yml,0xpolygon/polygon-edge,maybe,n
0xpolygon/polygon-edge/.github/workflows/test.yml,0xpolygon/polygon-edge,maybe,n
0xpolygonhermez/zkevm-node/.github/workflows/test-from-prover.yml,0xpolygonhermez/zkevm-node,maybe,
10up/actions-wordpress/dotorg-plugin-asset-update,10up/actions-wordpress,maybe,n
10up/actions-wordpress/dotorg-plugin-deploy,10up/actions-wordpress,maybe,n
10up/restricted-site-access/.github/workflows/build-release-zip.yml,10up/restricted-site-access,maybe,n
10up/safe-redirect-manager/.github/workflows/build-release-zip.yml,10up/safe-redirect-manager,maybe,n
10up/safe-svg/.github/workflows/build-release-zip.yml,10up/safe-svg,maybe,n
10up/simple-local-avatars/.github/workflows/build-release-zip.yml,10up/simple-local-avatars,maybe,n
10up/simple-page-ordering/.github/workflows/build-release-zip.yml,10up/simple-page-ordering,maybe,n
10up/simple-podcasting/.github/workflows/build-release-zip.yml,10up/simple-podcasting,maybe,n
13ph03nix/action-homebrew-bump-formula,13ph03nix/action-homebrew-bump-formula,maybe,n
13ph03nix/archlinux-package-action,13ph03nix/archlinux-package-action,maybe,n
1466587594/current-time,1466587594/current-time,maybe,n
1466587594/get-current-time,1466587594/get-current-time,maybe,n
1aron/aronrepo,1aron/aronrepo,maybe,n
1aron/techor,1aron/techor,maybe,n
20c/workflows/poetry,20c/workflows,maybe,n
3pointer/check-pr-labels-on-push-action,3pointer/check-pr-labels-on-push-action,maybe,n
404-novel-project/novel-downloader-action,404-novel-project/novel-downloader-action,maybe,n
47ng/actions-slack-notify,47ng/actions-slack-notify,maybe,n
