action_name,matched_key,bucket,claude_verdict,http_verdict,final_verdict
030/dive-action,030/dive-action,maybe,y,y,y
06393993/lcov-reporter-action,06393993/lcov-reporter-action,maybe,y,n,
0xbillw/install-rust-substrate-action,0xbillw/install-rust-substrate-action,maybe,n,n,
0xcaso/label-stale-pull-requests,0xcaso/label-stale-pull-requests,maybe,,n,
0xpolygon/polygon-edge/.github/workflows/build.yml,0xpolygon/polygon-edge,maybe,n,n,
0xpolygon/polygon-edge/.github/workflows/loadbot.yml,0xpolygon/polygon-edge,maybe,n,n,
0xpolygon/polygon-edge/.github/workflows/pandoras_box.yml,0xpolygon/polygon-edge,maybe,n,n,
0xpolygon/polygon-edge/.github/workflows/security.yml,0xpolygon/polygon-edge,maybe,n,n,
0xpolygon/polygon-edge/.github/workflows/test.yml,0xpolygon/polygon-edge,maybe,n,n,
0xpolygonhermez/zkevm-node/.github/workflows/test-from-prover.yml,0xpolygonhermez/zkevm-node,maybe,,n,
10up/actions-wordpress/dotorg-plugin-asset-update,10up/actions-wordpress,maybe,n,n,
10up/actions-wordpress/dotorg-plugin-deploy,10up/actions-wordpress,maybe,n,n,
10up/restricted-site-access/.github/workflows/build-release-zip.yml,10up/restricted-site-access,maybe,n,n,
10up/safe-redirect-manager/.github/workflows/build-release-zip.yml,10up/safe-redirect-manager,maybe,n,n,
10up/safe-svg/.github/workflows/build-release-zip.yml,10up/safe-svg,maybe,n,n,
10up/simple-local-avatars/.github/workflows/build-release-zip.yml,10up/simple-local-avatars,maybe,n,n,
10up/simple-page-ordering/.github/workflows/build-release-zip.yml,10up/simple-page-ordering,maybe,n,n,
10up/simple-podcasting/.github/workflows/build-release-zip.yml,10up/simple-podcasting,maybe,n,n,
13ph03nix/action-homebrew-bump-formula,13ph03nix/action-homebrew-bump-formula,maybe,n,n,
13ph03nix/archlinux-package-action,13ph03nix/archlinux-package-action,maybe,n,n,
1466587594/current-time,1466587594/current-time,maybe,n,n,
1466587594/get-current-time,1466587594/get-current-time,maybe,n,y,y
1aron/aronrepo,1aron/aronrepo,maybe,n,n,
1aron/techor,1aron/techor,maybe,n,n,
20c/workflows/poetry,20c/workflows,maybe,n,n,
3pointer/check-pr-labels-on-push-action,3pointer/check-pr-labels-on-push-action,maybe,n,n,
404-novel-project/novel-downloader-action,404-novel-project/novel-downloader-action,maybe,n,n,
47ng/actions-slack-notify,47ng/actions-slack-notify,maybe,n,n,
8398a7/action-slackpre,8398a7/action-slackpre,maybe,n,n,
8bitdream/action-github-releases,8bitdream/action-github-releases,maybe,,n,
8mi-tech/delete-release-assets-action,8mi-tech/delete-release-assets-action,maybe,,n,
8vim/json-yaml-validate,8vim/json-yaml-validate,maybe,,y,y
94dreamer/auto-release,94dreamer/auto-release,maybe,n,n,
94dreamer/compressed-size-action,94dreamer/compressed-size-action,maybe,n,n,
94dreamer/create-report,94dreamer/create-report,maybe,n,y,y
a-scie/actions/changelog,a-scie/actions,maybe,n,n,
a5huynh/tauri-action,a5huynh/tauri-action,maybe,n,y,y
a631807682/issues-translator,a631807682/issues-translator,maybe,n,n,
aactions/setup-node,aactions/setup-node,maybe,n,n,
aanm/junit2md,aanm/junit2md,maybe,n,n,
aareet/add-new-issues-to-project-column,aareet/add-new-issues-to-project-column,maybe,n,n,
aareet/github-project-automation-plus,aareet/github-project-automation-plus,maybe,n,n,
aareet/move-labeled-or-milestoned-issue,aareet/move-labeled-or-milestoned-issue,maybe,n,n,
aarlt/comment-on-pr,aarlt/comment-on-pr,maybe,n,n,
aarnott/nbgv,aarnott/nbgv,maybe,y,n,
aaron-binary/vercel-preview-url-action,aaron-binary/vercel-preview-url-action,maybe,n,n,
aaroncameron-wk/xcode-notarize,aaroncameron-wk/xcode-notarize,maybe,n,n,
aaronfriel/action-configure-pagefile,aaronfriel/action-configure-pagefile,maybe,n,n,
aave/cloudflare-update-action,aave/cloudflare-update-action,maybe,n,n,
aave/pinata-action,aave/pinata-action,maybe,n,n,
abatilo/actions-poetry,abatilo/actions-poetry,maybe,y,n,
abatilo/release-info-action,abatilo/release-info-action,maybe,n,n,
abdes/gha-setup-ninja,abdes/gha-setup-ninja,maybe,y,n,
abdullahalfaraj/ghaction-wiki-sync,abdullahalfaraj/ghaction-wiki-sync,maybe,,n,
abelfodil/protoc-action,abelfodil/protoc-action,maybe,y,n,
abernix/github-issue-pull-api-hook,abernix/github-issue-pull-api-hook,maybe,n,n,
abersheeran/sync-gitee-mirror,abersheeran/sync-gitee-mirror,maybe,n,n,
abey79/python-lint,abey79/python-lint,maybe,y,n,
abikouo/gha_testing/.github/workflows/ansible_bot.yml,abikouo/gha_testing,maybe,n,n,
abikouo/github_actions/.github/workflows/update_aws_variables.yml,abikouo/github_actions,maybe,n,n,
abinnovision/actions/actions/run-commitlint,abinnovision/actions,maybe,n,n,
abinnovision/actions/actions/setup-node,abinnovision/actions,maybe,n,n,
abinnovision/workflows/.github/workflows/release-please.yaml,abinnovision/workflows,maybe,n,n,
ably/sdk-upload-action,ably/sdk-upload-action,maybe,n,n,
abrown/install-openvino-action,abrown/install-openvino-action,maybe,n,n,
absaoss/golang-pipeline/go1.13/linter,absaoss/golang-pipeline,maybe,,n,
absaoss/golang-pipeline/go1.13/test,absaoss/golang-pipeline,maybe,,n,
abstractj/setup-minikube,abstractj/setup-minikube,maybe,n,n,
acalanetwork/acala-release-note-action,acalanetwork/acala-release-note-action,maybe,,n,
acalanetwork/srtool-actions,acalanetwork/srtool-actions,maybe,,n,
accesskit/accesskit/.github/workflows/generate-headers.yml,accesskit/accesskit,maybe,,n,
accurics/terrascan-action,accurics/terrascan-action,maybe,y,n,
acefei/sync-repo-action,acefei/sync-repo-action,maybe,n,n,
acitons/checkout,acitons/checkout,maybe,n,n,
acquia/.github/.github/workflows/autolabel.yml,acquia/.github,maybe,n,n,
acquia/.github/.github/workflows/automerge.yml,acquia/.github,maybe,n,n,
acquia/.github/.github/workflows/jira.yml,acquia/.github,maybe,n,n,
acquia/cli/.github/workflows/automerge.yml,acquia/cli,maybe,n,n,
acquia/gajira-comment,acquia/gajira-comment,maybe,n,n,
acquia/gajira-create,acquia/gajira-create,maybe,n,n,
acquia/gajira-login,acquia/gajira-login,maybe,n,n,
actactions/checkout,actactions/checkout,maybe,n,n,
action-hero/actions/rubocop,action-hero/actions,maybe,n,n,
action-rs/cargo,action-rs/cargo,maybe,y,n,
action-rs/toolchain,action-rs/toolchain,maybe,y,n,
action/cache,action/cache,maybe,n,n,
