action_name,matched_key,bucket,claude_verdict,http_verdict,final_verdict
06393993/lcov-reporter-action,06393993/lcov-reporter-action,maybe,y,n,
aarnott/nbgv,aarnott/nbgv,maybe,y,n,
abatilo/actions-poetry,abatilo/actions-poetry,maybe,y,n,
abdes/gha-setup-ninja,abdes/gha-setup-ninja,maybe,y,n,
abelfodil/protoc-action,abelfodil/protoc-action,maybe,y,n,
abey79/python-lint,abey79/python-lint,maybe,y,n,
accurics/terrascan-action,accurics/terrascan-action,maybe,y,n,
action-rs/cargo,action-rs/cargo,maybe,y,n,
action-rs/toolchain,action-rs/toolchain,maybe,y,n,
action/setup-dotnet,action/setup-dotnet,maybe,y,n,
actions-ecosystem/action-bump-semver,actions-ecosystem/action-bump-semver,maybe,y,n,
actions-rs/clippy,actions-rs/clippy,maybe,y,n,
actions-rs/components-nightly,actions-rs/components-nightly,maybe,y,n,
actions/setup-go[,actions/setup-go[,maybe,y,n,
actions/setup-haskell,actions/setup-haskell,maybe,y,n,yes
actions/setup=python,actions/setup=python,maybe,y,n,
actions/setup_python,actions/setup_python,maybe,y,n,
actionsdesk/semver,actionsdesk/semver,maybe,y,n,
adafruit/circuitpython-action-library-ci-problem-matchers,adafruit/circuitpython-action-library-ci-problem-matchers,maybe,y,n,
adrianthedev/action-standardrb,adrianthedev/action-standardrb,maybe,y,n,
aevea/kaniko-action,aevea/kaniko-action,maybe,y,n,
aganders3/headless-gui,aganders3/headless-gui,maybe,y,n,
agenthunt/conventional-commit-checker-action,agenthunt/conventional-commit-checker-action,maybe,y,n,
agilepathway/pull-request-label-checker,agilepathway/pull-request-label-checker,maybe,y,n,
ahartikainen/python-wheels-manylinux-build,ahartikainen/python-wheels-manylinux-build,maybe,y,n,
ahmadnassri/action-commit-lint,ahmadnassri/action-commit-lint,maybe,y,n,
ahmadnassri/action-conventional-commit-lint,ahmadnassri/action-conventional-commit-lint,maybe,y,n,
ahmadnassri/action-semantic-release,ahmadnassri/action-semantic-release,maybe,y,n,
ahmadnassri/action-workflow-queue,ahmadnassri/action-workflow-queue,maybe,y,n,
ahmadnassri/action-workflow-run-wait,ahmadnassri/action-workflow-run-wait,maybe,y,n,
alandefreitas/cpp-actions/b2-workflow,alandefreitas/cpp-actions,maybe,y,n,
alandefreitas/cpp-actions/cmake-workflow,alandefreitas/cpp-actions,maybe,y,n,
alandefreitas/cpp-actions/cpp-matrix,alandefreitas/cpp-actions,maybe,y,n,
alandefreitas/cpp-actions/package-install,alandefreitas/cpp-actions,maybe,y,n,
allegro-actions/junit-reporter,allegro-actions/junit-reporter,maybe,y,n,
ammaraskar/sphinx-problem-matcher,ammaraskar/sphinx-problem-matcher,maybe,y,n,
anantaramdas/ipfs-pinata-deploy-action,anantaramdas/ipfs-pinata-deploy-action,maybe,y,n,
andrewmcodes/rubocop-linter-action,andrewmcodes/rubocop-linter-action,maybe,y,n,
ankane/setup-elasticsearch,ankane/setup-elasticsearch,maybe,y,n,
ankane/setup-mongodb,ankane/setup-mongodb,maybe,y,n,
ankane/setup-opensearch,ankane/setup-opensearch,maybe,y,n,
ankane/setup-postgres,ankane/setup-postgres,maybe,y,n,
ankitvgupta/pycodestyle-action,ankitvgupta/pycodestyle-action,maybe,y,n,
anshulrgoyal/upload-s3-action,anshulrgoyal/upload-s3-action,maybe,y,n,
ant-design/size-limit-action,ant-design/size-limit-action,maybe,y,n,
apexskier/github-semver-parse,apexskier/github-semver-parse,maybe,y,n,
aquaproj/aqua-installer,aquaproj/aqua-installer,maybe,y,n,
architect/action-build,architect/action-build,maybe,y,n,
