action,note,action_file_descriptions,owner_type,exists,archived,disabled,created_at,last_pushed_at,description,stars,first_release_tag,first_release_date,latest_release_tag,latest_release_date,fork,action_yml_list,Num_of_files,file_structure,Features_raw,features_cleaned
030/dive-action,,"['dive', 'image']",User,True,True,False,2023-02-18,2023-12-19,Dive Action runs dive under the hood and enforces to build a lean image.,0.0,v0.1.0,2023-02-18,v0.1.1,2023-12-19,False,"[{'name': 'dive', 'description': 'dive', 'inputs': {'image': {'description': 'image', 'required': True}}, 'runs': {'using': 'composite', 'steps': [{'run': 'docker build -t ${{ inputs.image }} .', 'shell': 'bash'}, {'uses': 'docker://wagoodman/dive:v0.11.0', 'with': {'args': '${{ inputs.image }} --ci'}}]}}]",,,"['image_editing', 'photo_management', 'underwater_exploration_simulation']","['imageediting', 'photomanagement', 'underwaterexplorationsimulation']"
8398a7/action-slack,,"['You can notify slack of GitHub Actions.', 'Specify success or failure or cancelled or custom.', 'You can choose the items you want to add to the fields at the time of notification.\nIf you have more than one, please enter it in csv format.\ne.g. commit,repo\n', 'json payload\nrefs https://github.com/slackapi/node-slack-sdk/blob/v5.0.0/packages/webhook/src/IncomingWebhook.ts#L91-L106)\n', 'Specify channel or here or `user_id`.\nrefs: https://api.slack.com/reference/surfaces/formatting#mentioning-users\n', 'Specify success or failure or cancelled or custom or always.\nMultiple statuses can be specified in csv format.\ne.g. success,failure\n', 'User name for slack notification.', 'You can overwrite text.', ""override the legacy integration's default name."", 'an emoji code string to use in place of the default icon.', 'an icon image URL string to use in place of the default icon.', ""override the legacy integration's default channel. This should be an ID, such as C8UJ12P4P."", 'Use this if you want to overwrite the job name.', ""Message to use when the status is 'success'."", ""Message to use when the status is 'cancelled'."", ""Message to use when the status is 'failure'."", 'Use this if you wish to use a different GitHub token than the one provided by the workflow.', 'Specify if you want to use GitHub Enterprise.']",User,True,True,False,2019-08-15,2025-09-13,Provides the function of slack notification to GitHub Actions.,620.0,v1.0.0,2019-08-15,v3.19.0,2025-09-13,False,"[{'name': 'action-slack', 'description': 'You can notify slack of GitHub Actions.', 'author': '8398a7', 'deprecated': 'This action is archived as of 2025-09-13. Please migrate to slackapi/slack-github-action or another maintained alternative.', 'inputs': {'status': {'description': 'Specify success or failure or cancelled or custom.', 'required': True}, 'fields': {'description': 'You can choose the items you want to add to the fields at the time of notification.\nIf you have more than one, please enter it in csv format.\ne.g. commit,repo\n', 'default': '', 'required': False}, 'custom_payload': {'description': 'json payload\nrefs https://github.com/slackapi/node-slack-sdk/blob/v5.0.0/packages/webhook/src/IncomingWebhook.ts#L91-L106)\n', 'required': False}, 'mention': {'description': 'Specify channel or here or `user_id`.\nrefs: https://api.slack.com/reference/surfaces/formatting#mentioning-users\n', 'default': '', 'required': False}, 'if_mention': {'description': 'Specify success or failure or cancelled or custom or always.\nMultiple statuses can be specified in csv format.\ne.g. success,failure\n', 'default': '', 'required': False}, 'author_name': {'description': 'User name for slack notification.', 'default': '8398a7@action-slack', 'required': False}, 'text': {'description': 'You can overwrite text.', 'default': '', 'required': False}, 'username': {'description': ""override the legacy integration's default name."", 'default': '', 'required': False}, 'icon_emoji': {'description': 'an emoji code string to use in place of the default icon.', 'default': '', 'required': False}, 'icon_url': {'description': 'an icon image URL string to use in place of the default icon.', 'default': '', 'required': False}, 'channel': {'description': ""override the legacy integration's default channel. This should be an ID, such as C8UJ12P4P."", 'default': '', 'required': False}, 'job_name': {'description': 'Use this if you want to overwrite the job name.', 'default': '', 'required': False}, 'success_message': {'description': ""Message to use when the status is 'success'."", 'default': ':white_check_mark: Succeeded GitHub Actions\n', 'required': False}, 'cancelled_message': {'description': ""Message to use when the status is 'cancelled'."", 'default': ':warning: Cancelled GitHub Actions\n', 'required': False}, 'failure_message': {'description': ""Message to use when the status is 'failure'."", 'default': ':no_entry: Failed GitHub Actions\n', 'required': False}, 'github_token': {'description': 'Use this if you wish to use a different GitHub token than the one provided by the workflow.', 'required': False, 'default': '${{ github.token }}'}, 'github_base_url': {'description': 'Specify if you want to use GitHub Enterprise.', 'default': '', 'required': False}}, 'runs': {'using': 'node20', 'main': 'dist/index.js'}, 'branding': {'icon': 'bell', 'color': 'blue'}}]",,,"['\n    ""Notification to Slack"",\n    ""Status specification"",\n    ""Customizable notification fields"",\n    ""JSON payload support"",\n    ""Channel specification"",\n    ""Multiple status specification"",\n    ""Custom username for Slack notification"",\n    ""Text override"",\n    ""Default name override"",\n    ""Custom emoji icon"",\n    ""Custom icon image URL"",\n    ""Default channel override"",\n    ""Job name override"",\n    ""Success message customization"",\n    ""Cancelled message customization"",\n    ""Failure message customization"",\n    ""Custom GitHub token support"",\n    ""GitHub Enterprise support""\n']",['notification slack status specification customizable notification field json payload support channel specification multiple status specification custom username slack notification text override default name override custom emoji icon custom icon image url default channel override job name override success message customization cancelled message customization failure message customization custom github token support github enterpullrequestise support']
AbsaOSS/k3d-action,,"['A GitHub Action to run fully customizable k3s clusters during workflow. Provides an image registry and multi-cluster support', '(Required) Cluster name.', '(Optional) Additional arguments to k3d cluster. see: https://k3d.io/usage/commands/', '(Optional) Version of k3d']",Organization,True,False,False,2020-12-10,2023-12-05,"A GitHub Action to run lightweight ephemeral Kubernetes clusters during workflow.  Fundamental advantage of this action is a full customization of embedded k3s clusters. In addition, it provides a private image registry and multi-cluster support.",200.0,v1.0.0,2020-12-17,v2.4.0,2023-01-12,False,"[{'name': 'AbsaOSS/k3d-action', 'description': 'A GitHub Action to run fully customizable k3s clusters during workflow. Provides an image registry and multi-cluster support', 'author': 'AbsaOSS', 'branding': {'icon': 'grid', 'color': 'red'}, 'inputs': {'cluster-name': {'description': '(Required) Cluster name.', 'required': True}, 'args': {'description': '(Optional) Additional arguments to k3d cluster. see: https://k3d.io/usage/commands/', 'required': False}, 'k3d-version': {'description': '(Optional) Version of k3d', 'required': False}}, 'runs': {'using': 'composite', 'steps': [{'id': 'main', 'shell': 'bash', 'run': '${{ github.action_path }}/run.sh deploy', 'env': {'CLUSTER_NAME': '${{ inputs.cluster-name }}', 'ARGS': '${{ inputs.args }}', 'K3D_VERSION': '${{ inputs.k3d-version }}'}}]}}]",,,"['\n    ""Run customizable k3s clusters"",\n    ""Image registry"",\n    ""Multi-cluster support"",\n    ""Customizable cluster name"",\n    ""Support for additional arguments to k3d cluster"",\n    ""Version selection for k3d""\n']",['run customizable k3s cluster image registry multicluster support customizable cluster name support additional argument k3d cluster version selection k3d']
Akryum/release-tag,,"['Create a release on tag push', 'The name of the tag. This should come from the webhook payload, `github.GITHUB_REF` when a user pushes a new tag', 'The name of the release. For example, `Release v1.0.1`', '`true` to create a draft (unpublished) release, `false` to create a published one. Default: `false`', '`true` to identify the release as a prerelease. `false` to identify the release as a full release. If not set, auto-detected from the tag name (e.g. `v1.0.0-alpha` → prerelease).']",User,True,False,False,2021-11-28,2026-04-24,GitHub action for auto creating a release on tag push with conventional changelog,14.0,v2.0.0,2021-11-29,v4.0.7,2023-04-14,True,"[{'name': 'Release Tag', 'description': 'Create a release on tag push', 'inputs': {'tag_name': {'description': 'The name of the tag. This should come from the webhook payload, `github.GITHUB_REF` when a user pushes a new tag', 'required': True}, 'release_name': {'description': 'The name of the release. For example, `Release v1.0.1`', 'required': False}, 'draft': {'description': '`true` to create a draft (unpublished) release, `false` to create a published one. Default: `false`', 'required': False, 'default': False}, 'prerelease': {'description': '`true` to identify the release as a prerelease. `false` to identify the release as a full release. If not set, auto-detected from the tag name (e.g. `v1.0.0-alpha` → prerelease).', 'required': False}}, 'runs': {'using': 'node16', 'main': 'dist/index.js'}, 'branding': {'icon': 'tag', 'color': 'gray-dark'}}]",,,"['\n    ""Create release on tag push"",\n    ""Tag name extraction from webhook payload"",\n    ""Customizable release name"",\n    ""Draft release creation"",\n    ""Published release creation"",\n    ""Prerelease identification"",\n    ""Auto-detection of prerelease from tag name""\n']",['create release tag push tag name extraction webhook payload customizable release name draft release creation published release creation pullrequesterelease identification autodetection pullrequesterelease tag name']
Anton-4/deploy-nightly,releases error: malformed node or string: nan tags only (no formal releases),"['Deploy an asset to a GitHub release with date and commit hash and delete old assets.', 'GitHub upload URL', 'GitHub release id', 'Path to archive to upload', 'Name of the file to upload with a $$ placeholder to insert date and hash into', 'Content type of the uploaded file', 'Maximum number of historical releases with the given asset_name to keep', 'yes if a new upload has been made, no if the upload already existed', 'GitHub asset URL']",User,True,False,False,2022-06-21,2022-06-21,Deploy an asset to a GitHub release with date and commit hash and delete old assets.,0.0,v1.0.0,,v1.1.0,,True,"[{'name': 'Deploy Nightly', 'description': 'Deploy an asset to a GitHub release with date and commit hash and delete old assets.', 'author': 'WebFreak001', 'branding': {'icon': 'grid', 'color': 'purple'}, 'inputs': {'upload_url': {'description': 'GitHub upload URL', 'required': True}, 'release_id': {'description': 'GitHub release id', 'required': True}, 'asset_path': {'description': 'Path to archive to upload', 'required': True}, 'asset_name': {'description': 'Name of the file to upload with a $$ placeholder to insert date and hash into', 'required': True}, 'asset_content_type': {'description': 'Content type of the uploaded file', 'required': True}, 'max_releases': {'description': 'Maximum number of historical releases with the given asset_name to keep', 'required': False, 'default': 7}}, 'output': {'uploaded': {'description': 'yes if a new upload has been made, no if the upload already existed'}, 'url': {'description': 'GitHub asset URL'}}, 'runs': {'using': 'node12', 'main': 'index.js'}}]",,,"['\n    ""Deployment to GitHub release"",\n    ""GitHub upload URL generation"",\n    ""GitHub release ID management"",\n    ""Archive upload"",\n    ""Customizable file naming"",\n    ""File content type specification"",\n    ""Historical release management"",\n    ""Upload status tracking"",\n    ""GitHub asset URL generation""\n']",['deployment github release github upload url generation github release id management archive upload customizable file naming file content type specification historical release management upload status tracking github asset url generation']
AurorNZ/paths-filter,releases error: malformed node or string: nan tags only (no formal releases),"['Execute your workflow steps only if relevant files are modified.', 'GitHub Access Token', 'Relative path under $GITHUB_WORKSPACE where the repository was checked out.', 'Git reference (e.g. branch name) from which the changes will be detected.\nThis option is ignored if action is triggered by pull_request event.\n', 'Git reference (e.g. branch name) against which the changes will be detected. Defaults to repository default branch (e.g. master).\nIf it references same branch it was pushed to, changes are detected against the most recent commit before the push.\nThis option is ignored if action is triggered by pull_request event.\n', 'Path to the configuration file or YAML string with filters definition', ""Enables listing of files matching the filter:\n  'none'  - Disables listing of matching files (default).\n  'csv'   - Coma separated list of filenames.\n            If needed it uses double quotes to wrap filename with unsafe characters.\n  'json'  - Serialized as JSON array.\n  'shell' - Space delimited list usable as command line argument list in linux shell.\n            If needed it uses single or double quotes to wrap filename with unsafe characters.\n  'escape'- Space delimited list usable as command line argument list in linux shell.\n            Backslash escapes every potentially unsafe character.\n"", 'How many commits are initially fetched from base branch.\nIf needed, each subsequent fetch doubles the previously requested number of commits\nuntil the merge-base is found or there are no more commits in the history.\nThis option takes effect only when changes are detected using git against different base branch.\n', 'JSON array with names of all filters matching any of changed files']",Organization,True,False,False,2022-02-28,2026-05-27,"Conditionally run actions based on files modified by PR, feature branch or pushed commits",4.0,v1,,v5.0.0,,True,"[{'name': 'Paths Changes Filter', 'description': 'Execute your workflow steps only if relevant files are modified.', 'author': 'Michal Dorner <dorner.michal@gmail.com>', 'inputs': {'token': {'description': 'GitHub Access Token', 'required': False, 'default': '${{ github.token }}'}, 'working-directory': {'description': 'Relative path under $GITHUB_WORKSPACE where the repository was checked out.', 'required': False}, 'ref': {'description': 'Git reference (e.g. branch name) from which the changes will be detected.\nThis option is ignored if action is triggered by pull_request event.\n', 'required': False}, 'base': {'description': 'Git reference (e.g. branch name) against which the changes will be detected. Defaults to repository default branch (e.g. master).\nIf it references same branch it was pushed to, changes are detected against the most recent commit before the push.\nThis option is ignored if action is triggered by pull_request event.\n', 'required': False}, 'filters': {'description': 'Path to the configuration file or YAML string with filters definition', 'required': True}, 'list-files': {'description': ""Enables listing of files matching the filter:\n  'none'  - Disables listing of matching files (default).\n  'csv'   - Coma separated list of filenames.\n            If needed it uses double quotes to wrap filename with unsafe characters.\n  'json'  - Serialized as JSON array.\n  'shell' - Space delimited list usable as command line argument list in linux shell.\n            If needed it uses single or double quotes to wrap filename with unsafe characters.\n  'escape'- Space delimited list usable as command line argument list in linux shell.\n            Backslash escapes every potentially unsafe character.\n"", 'required': False, 'default': 'none'}, 'initial-fetch-depth': {'description': 'How many commits are initially fetched from base branch.\nIf needed, each subsequent fetch doubles the previously requested number of commits\nuntil the merge-base is found or there are no more commits in the history.\nThis option takes effect only when changes are detected using git against different base branch.\n', 'required': False, 'default': '100'}}, 'outputs': {'changes': {'description': 'JSON array with names of all filters matching any of changed files'}}, 'runs': {'using': 'node24', 'main': 'dist/index.mjs'}, 'branding': {'color': 'blue', 'icon': 'filter'}}]",,,"['\n    ""Conditional workflow execution based on file modifications"",\n    ""GitHub authentication using Access Token"",\n    ""Repository checkout path"",\n    ""Git reference for change detection"",\n    ""Base branch for change detection"",\n    ""Configuration file or YAML string for filters"",\n    ""File listing with filter options"",\n    ""Initial commit fetch count"",\n    ""JSON array of matching filter names""\n']",['conditional workflow execution based file modification github authentication using access token repository checkout path git reference change detection base branch change detection configuration file yaml string filter file listing filter option initial commit fetch count json array matching filter name']
Azure/container-scan,,"['Scan container images for vulnerabilities and CIS guidelines', 'Docker image to scan', '(Optional) Minimum severity threshold set to control flagging of the vulnerabilities found during the scan. The available levels are: (UNKNOWN, LOW, MEDIUM, HIGH, CRITICAL); if you set the severity-threshold to be `MEDIUM` every CVE found of a level higher than or equal to `MEDIUM` would be displayed', 'Username to authenticate to the Docker registry', 'Password to authenticate to the Docker registry', 'Github token', 'Version of Trivy to run', 'Add additional checks to ensure the image is secure and follows best practices and CIS standards', 'File path where the scan results are stored', 'URL of the check run. Overview about finding of vulnerabilities and best-practices.']",Organization,True,True,False,2020-03-26,2023-01-07,A GitHub action to help you scan your docker image for vulnerabilities,220.0,v0,2020-05-17,v0.1,2021-06-09,False,"[{'name': 'Container image scan', 'description': 'Scan container images for vulnerabilities and CIS guidelines', 'inputs': {'image-name': {'description': 'Docker image to scan', 'required': True}, 'severity-threshold': {'description': '(Optional) Minimum severity threshold set to control flagging of the vulnerabilities found during the scan. The available levels are: (UNKNOWN, LOW, MEDIUM, HIGH, CRITICAL); if you set the severity-threshold to be `MEDIUM` every CVE found of a level higher than or equal to `MEDIUM` would be displayed', 'required': False, 'default': 'HIGH'}, 'username': {'description': 'Username to authenticate to the Docker registry', 'required': False}, 'password': {'description': 'Password to authenticate to the Docker registry', 'required': False}, 'token': {'description': 'Github token', 'default': '${{ github.token }}', 'required': True}, 'trivy-version': {'description': 'Version of Trivy to run', 'default': 'latest', 'required': False}, 'run-quality-checks': {'description': 'Add additional checks to ensure the image is secure and follows best practices and CIS standards', 'default': 'true', 'required': False}}, 'outputs': {'scan-report-path': {'description': 'File path where the scan results are stored'}, 'check-run-url': {'description': 'URL of the check run. Overview about finding of vulnerabilities and best-practices.'}}, 'runs': {'using': 'node12', 'main': 'lib/main.js'}}]",,,"['\n    ""Vulnerability Scanning"",\n    ""CIS Guidelines Compliance"",\n    ""Docker Image Scanning"",\n    ""Severity Threshold Setting"",\n    ""Authentication to Docker Registry"",\n    ""Github Token Authentication"",\n    ""Trivy Version Selection"",\n    ""Additional Security Checks"",\n    ""CIS Standards Compliance"",\n    ""Best Practices Compliance"",\n    ""Scan Results Storage"",\n    ""Check Run URL"",\n    ""Vulnerability Reporting"",\n    ""Security Findings Overview""\n']",['vulnerability scanning ci guideline compliance docker image scanning severity threshold setting authentication docker registry github token authentication trivy version selection additional security check ci standard compliance best pullrequestactices compliance scan result storage check run url vulnerability reporting security finding overview']
Azure/docker-login,,"['Log in to Azure Container Registry (ACR) or any private container registry', 'Container registry username', 'Container registry password', 'Container registry server url']",Organization,True,False,False,2019-09-04,2025-01-21,GitHub action to log in to Azure Container Registry (ACR) or any private container registry,117.0,v1,2019-09-20,v2,2024-05-22,False,"[{'name': 'Azure Container Registry Login', 'description': 'Log in to Azure Container Registry (ACR) or any private container registry', 'inputs': {'username': {'description': 'Container registry username', 'required': True, 'default': ''}, 'password': {'description': 'Container registry password', 'required': True, 'default': ''}, 'login-server': {'description': 'Container registry server url', 'required': True, 'default': 'https://index.docker.io/v1/'}}, 'branding': {'color': 'green'}, 'runs': {'using': 'node20', 'main': 'lib/login.js'}}]",,,"['\n    ""Authentication"",\n    ""Container Registry Integration"",\n    ""Username Management"",\n    ""Password Management"",\n    ""Server URL Configuration""\n']",['authentication container registry integration username management password management server url configuration']
Azure/functions-action,,"['Deploy Function App to Azure Functions', 'Name of the Azure Function App', 'Path to package or folder. *.zip or a folder to deploy', 'Function app slot to be deploy to', 'Publish profile (*.publishsettings) file contents with web deploy secrets', ""Automatically look up Java function app artifact from pom.xml (default: 'false'). When this is set to 'true', 'package' should point to the folder of host.json."", ""Remove unwanted files defined in .funcignore file (default: 'false'). When this is set to 'true', 'package' should point to the folder of host.json."", ""Enable build action from Kudu when the package is deployed onto the function app. This will temporarily change the SCM_DO_BUILD_DURING_DEPLOYMENT setting for this deployment. To bypass this and use the existing settings from your function app, please set this to an empty string ''. To enable remote build for your project, please set this and 'enable-oryx-build' both to 'true'. By default, GitHub Action respects the packages resolved in GitHub workflow, disabling the redundant build action from Kudu endpoint. (default: 'false')."", ""Use Oryx Build from Kudu when the package is deployed onto the function app. (Linux functions only). This will temporarily change the ENABLE_ORYX_BUILD setting from this deployment. To bypass this and use the existing settings from your function app, please set this to an empty string ''. To enable remote build for your project, please set this and 'scm-do-build-during-deployment' both to 'true'. By default, GitHub Action respects the packages resolved in GitHub workflow, disabling the redundant build action from Kudu endpoint. (default: 'false')."", ""For function app on Flex Consumption plan, set this to 'flexconsumption'. You can skip this parameter for function app on other plans. If using RBAC credentials, then by default, GitHub Action will resolve the value for this paramter. But if using 'publish-profile', then you must set this for function app on Flex Consumption plan."", ""For function app on Flex Consumption plan, enable build action from Kudu when the package is deployed onto the function app by setting this to 'true'. For function app on Flex Consumption plan, do not set 'scm-do-build-during-deployment' and 'enable-oryx-build'. By default, GitHub Action respects the packages resolved in GitHub workflow, disabling the redundant build action from Kudu endpoint. (default: 'false')."", 'URL to work with your function app', 'URL to the package zip file if using package deployment']",Organization,True,False,False,2019-08-30,2026-05-23,Enable GitHub developers to deploy to Azure Function Apps using GitHub Actions,180.0,v1.0.0,2019-10-03,v1.5.6,2026-04-14,False,"[{'name': 'Azure Functions Action', 'description': 'Deploy Function App to Azure Functions', 'inputs': {'app-name': {'description': 'Name of the Azure Function App', 'required': True}, 'package': {'description': 'Path to package or folder. *.zip or a folder to deploy', 'required': False, 'default': '.'}, 'slot-name': {'description': 'Function app slot to be deploy to', 'required': False}, 'publish-profile': {'description': 'Publish profile (*.publishsettings) file contents with web deploy secrets', 'required': False}, 'respect-pom-xml': {'description': ""Automatically look up Java function app artifact from pom.xml (default: 'false'). When this is set to 'true', 'package' should point to the folder of host.json."", 'required': False, 'default': 'false'}, 'respect-funcignore': {'description': ""Remove unwanted files defined in .funcignore file (default: 'false'). When this is set to 'true', 'package' should point to the folder of host.json."", 'required': False, 'default': 'false'}, 'scm-do-build-during-deployment': {'description': ""Enable build action from Kudu when the package is deployed onto the function app. This will temporarily change the SCM_DO_BUILD_DURING_DEPLOYMENT setting for this deployment. To bypass this and use the existing settings from your function app, please set this to an empty string ''. To enable remote build for your project, please set this and 'enable-oryx-build' both to 'true'. By default, GitHub Action respects the packages resolved in GitHub workflow, disabling the redundant build action from Kudu endpoint. (default: 'false')."", 'required': False, 'default': 'false'}, 'enable-oryx-build': {'description': ""Use Oryx Build from Kudu when the package is deployed onto the function app. (Linux functions only). This will temporarily change the ENABLE_ORYX_BUILD setting from this deployment. To bypass this and use the existing settings from your function app, please set this to an empty string ''. To enable remote build for your project, please set this and 'scm-do-build-during-deployment' both to 'true'. By default, GitHub Action respects the packages resolved in GitHub workflow, disabling the redundant build action from Kudu endpoint. (default: 'false')."", 'required': False, 'default': 'false'}, 'sku': {'description': ""For function app on Flex Consumption plan, set this to 'flexconsumption'. You can skip this parameter for function app on other plans. If using RBAC credentials, then by default, GitHub Action will resolve the value for this paramter. But if using 'publish-profile', then you must set this for function app on Flex Consumption plan."", 'required': False}, 'remote-build': {'description': ""For function app on Flex Consumption plan, enable build action from Kudu when the package is deployed onto the function app by setting this to 'true'. For function app on Flex Consumption plan, do not set 'scm-do-build-during-deployment' and 'enable-oryx-build'. By default, GitHub Action respects the packages resolved in GitHub workflow, disabling the redundant build action from Kudu endpoint. (default: 'false')."", 'required': False, 'default': 'false'}}, 'outputs': {'app-url': {'description': 'URL to work with your function app'}, 'package-url': {'description': 'URL to the package zip file if using package deployment'}}, 'branding': {'icon': 'functionapp.svg', 'color': 'blue'}, 'runs': {'using': 'node24', 'main': 'lib/main.js'}}]",,,"['\n    ""Deploy to Azure Functions"",\n    ""Function App Name"",\n    ""Package or Folder Deployment"",\n    ""Function App Slot Deployment"",\n    ""Publish Profile"",\n    ""Java Function App Artifact Lookup"",\n    ""Remove Unwanted Files"",\n    ""Enable Build Action from Kudu"",\n    ""Use Oryx Build from Kudu"",\n    ""Flex Consumption Plan Support"",\n    ""Enable Build Action for Flex Consumption Plan"",\n    ""Function App URL"",\n    ""Package Zip File URL""\n']",['deploy azure function function app name package folder deployment function app slot deployment publish pullrequestofile java function app artifact lookup remove unwanted file enable build action kudu use oryx build kudu flex consumption plan support enable build action flex consumption plan function app url package zip file url']
BSFishy/meson-build,,"['Run a Meson task during your Actions workflow', 'The action to run', 'The directory to build the project to', 'Additional options to pass to Meson during setup', 'Additional options to pass to Meson', 'The version of Meson to use', 'The version of Ninja to use', 'The version of gcovr to use (If doing coverage)']",User,True,True,False,2020-03-05,2023-01-05,Run a Meson task during your Actions workflow,25.0,v1,2020-03-05,v1.0.3,2021-03-05,False,"[{'name': 'Meson Build', 'author': 'BSFishy', 'description': 'Run a Meson task during your Actions workflow', 'runs': {'using': 'node12', 'main': 'dist/index.js'}, 'branding': {'icon': 'arrow-down', 'color': 'green'}, 'inputs': {'action': {'description': 'The action to run', 'required': True}, 'directory': {'description': 'The directory to build the project to', 'required': True, 'default': 'build'}, 'setup-options': {'description': 'Additional options to pass to Meson during setup', 'required': False, 'default': ''}, 'options': {'description': 'Additional options to pass to Meson', 'required': False, 'default': ''}, 'meson-version': {'description': 'The version of Meson to use', 'required': True, 'default': '0.53.2'}, 'ninja-version': {'description': 'The version of Ninja to use', 'required': True, 'default': '1.9.0.post1'}, 'gcovr-version': {'description': 'The version of gcovr to use (If doing coverage)', 'required': True, 'default': '4.2'}}}]",,,"['\n    ""Run Meson task"",\n    ""Specify action to run"",\n    ""Configure build directory"",\n    ""Pass setup options to Meson"",\n    ""Pass options to Meson"",\n    ""Select Meson version"",\n    ""Select Ninja version"",\n    ""Select gcovr version for coverage""\n']",['run meson task specify action run configure build directory pas setup option meson pas option meson select meson version select ninja version select gcovr version coverage']
