action,project_count,total_events,is_marketplace
docker/login-action,2960,16293,True
docker/build-push-action,2492,15352,True
docker/setup-buildx-action,2455,12763,True
docker/setup-qemu-action,2058,7959,True
softprops/action-gh-release,1714,3940,True
ruby/setup-ruby,1369,5780,True
shivammathur/setup-php,1338,8017,True
pypa/gh-action-pypi-publish,1334,4044,True
docker/metadata-action,1105,4216,True
peaceiris/actions-gh-pages,1098,1969,True
golangci/golangci-lint-action,1041,3575,True
jamesives/github-pages-deploy-action,779,2518,True
pnpm/action-setup,743,4926,True
goreleaser/goreleaser-action,616,3280,True
ncipollo/release-action,598,2143,True
microsoft/setup-msbuild,539,1603,True
gradle/gradle-build-action,511,4899,False
ad-m/github-push-action,453,964,True
aws-actions/configure-aws-credentials,451,3775,True
actions/deploy-pages,451,765,True
actions/upload-pages-artifact,440,710,True
svenstaro/upload-release-action,422,1418,True
ilammy/msvc-dev-cmd,412,1220,True
msys2/setup-msys2,410,811,True
release-drafter/release-drafter,379,1172,True
styfle/cancel-workflow-action,377,2908,True
actions/setup-ruby,366,1284,False
dorny/paths-filter,316,1166,True
dawidd6/action-download-artifact,305,1466,True
actions/configure-pages,284,453,True
subosito/flutter-action,276,2600,True
bahmutov/npm-install,275,1382,True
marvinpinto/action-automatic-releases,263,554,True
ramsey/composer-install,260,1531,True
amannn/action-semantic-pull-request,259,802,True
cypress-io/github-action,257,1264,True
peter-evans/repository-dispatch,248,761,True
cachix/install-nix-action,230,3239,True
tj-actions/changed-files,229,2969,True
azure/setup-helm,218,881,True
reactivecircus/android-emulator-runner,217,690,True
google-github-actions/setup-gcloud,208,1574,True
jurplel/install-qt-action,197,1259,True
aquasecurity/trivy-action,183,1201,True
nick-invision/retry,179,1367,True
tibdex/github-app-token,179,884,True
gaurav-nelson/github-action-markdown-link-check,176,396,True
sigstore/cosign-installer,173,1675,True
mxschmitt/action-tmate,165,723,True
js-devtools/npm-publish,157,368,True
nick-fields/retry,152,876,True
marocchino/sticky-pull-request-comment,150,387,True
erlef/setup-beam,150,509,True
fkirc/skip-duplicate-actions,148,626,True
helm/kind-action,141,880,True
webfactory/ssh-agent,137,487,True
crazy-max/ghaction-github-pages,134,353,True
dart-lang/setup-dart,132,3559,True
uraimo/run-on-arch-action,130,363,True
peter-evans/dockerhub-description,129,624,True
8398a7/action-slack,123,1045,True
elgohr/publish-docker-github-action,123,525,True
lukka/get-cmake,122,548,True
ludeeus/action-shellcheck,122,231,True
actions-rs/install,119,408,True
re-actors/alls-green,115,179,True
appleboy/ssh-action,113,584,True
geekyeggo/delete-artifact,107,369,True
peaceiris/actions-mdbook,107,200,True
cachix/cachix-action,105,860,True
hashicorp/setup-terraform,103,465,True
hecrj/setup-rust-action,101,617,True
mamba-org/provision-with-micromamba,98,642,True
benchmark-action/github-action-benchmark,96,221,True
aws-actions/amazon-ecr-login,96,427,False
seanmiddleditch/gha-setup-ninja,96,374,True
addnab/docker-run-action,95,340,True
lycheeverse/lychee-action,95,462,True
azure/login,93,532,True
vmactions/freebsd-vm,92,296,True
ahmadnassri/action-dependabot-auto-merge,90,195,True
lukka/run-vcpkg,89,542,True
benc-uk/workflow-dispatch,89,275,True
mymindstorm/setup-emsdk,88,235,True
browser-actions/setup-chrome,86,173,True
azure/docker-login,85,311,False
apple-actions/import-codesign-certs,85,229,True
helm/chart-testing-action,84,346,True
engineerd/setup-kind,83,389,True
satackey/action-docker-layer-caching,82,545,True
supercharge/mongodb-github-action,82,268,True
mshick/add-pr-comment,82,194,True
baptiste0928/cargo-install,81,438,True
erlef/setup-elixir,81,268,True
vedantmgoyal2009/winget-releaser,77,216,True
lewagon/wait-on-check-action,77,284,True
android-actions/setup-android,76,188,True
pascalgn/automerge-action,75,230,True
jakejarvis/s3-sync-action,73,235,True
crazy-max/ghaction-chocolatey,73,249,True
jlumbroso/free-disk-space,72,531,True
supercharge/redis-github-action,72,257,True
stefanzweifel/changelog-updater-action,72,93,True
helm/chart-releaser-action,72,181,True
wyrihaximus/github-action-get-previous-tag,69,153,True
shimataro/ssh-key-action,67,256,True
docker-practice/actions-setup-docker,66,393,True
jwlawson/actions-setup-cmake,66,476,True
ilshidur/action-discord,65,216,True
robinraju/release-downloader,63,202,True
martinbeentjes/npm-get-version-action,61,169,True
borales/actions-yarn,61,192,True
lukka/run-cmake,60,310,True
mhausenblas/mkdocs-deploy-gh-pages,60,117,True
stcarolas/setup-maven,58,359,True
peaceiris/actions-hugo,58,105,True
r0adkll/sign-android-release,58,185,True
browser-actions/setup-firefox,57,108,True
ammaraskar/sphinx-action,57,117,True
mattnotmitt/doxygen-action,56,115,True
azure/setup-kubectl,55,245,True
hacs/action,53,90,True
rlespinasse/github-slug-action,53,572,True
nanasess/setup-chromedriver,53,218,True
burrunan/gradle-cache-action,53,508,True
samuelmeuli/action-electron-builder,52,111,True
actions-ecosystem/action-regex-match,52,88,True
firebaseextended/action-hosting-deploy,52,129,True
jitterbit/get-changed-files,51,123,True
appleboy/scp-action,50,120,True
battila7/get-version-action,50,108,True
getsentry/action-release,50,155,True
montudor/action-zip,50,136,True
graalvm/setup-graalvm,50,163,True
google-github-actions/upload-cloud-storage,50,235,True
microsoft/playwright-github-action,49,191,True
joschi/setup-jdk,49,305,True
actions-rs/grcov,49,114,True
10up/action-wordpress-plugin-deploy,48,77,True
hadolint/hadolint-action,48,154,True
thedoctor0/zip-release,47,111,True
pozetroninc/github-action-get-latest-release,47,114,True
peter-evans/enable-pull-request-automerge,46,184,True
pat-s/always-upload-cache,46,208,True
dominikh/staticcheck-action,45,114,True
papeloto/action-zip,45,117,True
katyo/publish-crates,45,88,True
mikefarah/yq,44,481,True
pyo3/maturin-action,44,231,True
docker/bake-action,44,392,True
rokroskar/workflow-run-cleanup-action,43,271,True
deadsnakes/action,43,108,True
jetli/wasm-pack-action,43,275,True
dsaltares/fetch-gh-release-asset,42,158,True
c-hive/gha-yarn-cache,42,244,True
cpina/github-action-push-to-another-repository,41,161,True
dawidd6/action-homebrew-bump-formula,41,92,True
gr1n/setup-poetry,41,353,True
wearerequired/git-mirror-action,41,71,True
anothrnick/github-tag-action,40,144,True
anchore/scan-action,40,125,True
nrwl/nx-set-shas,40,155,True
tj-actions/branch-names,39,101,True
rickstaa/action-create-tag,39,86,True
shivammathur/cache-extensions,39,126,True
jacobtomlinson/gha-find-replace,39,122,True
azure/webapps-deploy,39,246,True
wangyoucao577/go-release-action,38,337,True
softprops/turnstyle,38,105,True
skx/github-action-publish-binaries,37,99,True
appleboy/telegram-action,37,118,True
coactions/setup-xvfb,36,53,True
mirromutth/mysql-action,36,68,True
ralfg/python-wheels-manylinux-build,36,184,True
r0adkll/upload-google-play,36,146,True
rhysd/github-action-benchmark,36,98,True
haaleo/publish-vscode-extension,36,77,True
actionshub/markdownlint,35,101,True
tibdex/backport,35,81,True
actions-js/push,35,82,True
mozilla-actions/sccache-action,35,202,True
schneegans/dynamic-badges-action,35,121,True
meedamian/github-release,34,78,True
redhat-actions/push-to-registry,34,139,True
s0/git-publish-subdir-action,34,62,True
xt0rted/pull-request-comment-branch,34,133,True
xresloader/upload-to-github-release,34,104,True
alexellis/upload-assets,34,108,True
textbook/git-checkout-submodule-action,34,103,True
stefanprodan/helm-gh-pages,33,83,True
isort/isort-action,33,48,True
warrenbuckley/setup-msbuild,33,86,True
wandalen/wretry.action,33,532,True
determinatesystems/nix-installer-action,33,158,True
samuelmeuli/action-maven-publish,32,61,True
manusa/actions-setup-minikube,32,459,True
errata-ai/vale-action,31,84,True
medyagh/setup-minikube,31,297,True
actionshub/yamllint,31,94,True
tj-actions/verify-changed-files,31,125,True
hashicorp/vault-action,30,280,True
jwalton/gh-docker-logs,30,103,True
actions/jekyll-build-pages,30,46,True
larsoner/circleci-artifacts-redirector-action,30,51,True
github-actions-x/commit,30,81,True
cloudflare/pages-action,29,48,True
jfrog/setup-jfrog-cli,29,124,True
fregante/setup-git-user,29,71,True
azure/cli,29,201,True
amondnet/vercel-action,29,126,True
fossas/fossa-action,29,78,True
bobheadxi/deployments,28,142,True
ilammy/setup-nasm,28,113,True
actionshub/chef-install,28,112,True
avto-dev/markdown-lint,28,56,True
maxheld83/ghpages,28,69,False
returntocorp/semgrep-action,28,55,False
simenb/github-actions-cpu-cores,27,100,True
nelonoel/branch-name,27,67,True
skjnldsv/read-package-engines-version-actions,26,288,True
treosh/lighthouse-ci-action,26,79,True
actionshub/test-kitchen,26,82,True
damianreeves/write-file-action,26,69,True
khan/pull-request-comment-trigger,26,59,True
redhat-actions/buildah-build,26,126,True
harmon758/postgresql-action,26,49,True
fjogeleit/http-request-action,26,90,True
devmasx/merge-branch,26,56,True
fnkr/github-action-ghr,26,77,True
eregon/publish-release,26,64,True
oprypin/find-latest-tag,25,45,True
jwalton/gh-find-current-pr,25,51,True
determinatesystems/magic-nix-cache-action,25,105,True
azure/static-web-apps-deploy,25,95,True
ros-tooling/setup-ros,25,317,True
toolmantim/release-drafter,24,138,True
szenius/set-timezone,24,58,True
easingthemes/ssh-deploy,24,78,True
dotnet/nbgv,24,100,True
christophwurst/xmllint-action,24,53,True
dmnemec/copy_file_to_another_repo_action,24,75,True
samkirkland/ftp-deploy-action,24,171,True
rojopolis/spellcheck-github-actions,24,131,True
jrubics/poetry-publish,24,72,True
google-github-actions/get-gke-credentials,24,105,True
actionshub/chef-delivery,24,69,True
anchore/sbom-action,23,98,True
pixta-dev/repository-mirroring-action,23,38,True
act10ns/slack,23,249,True
cloudflare/wrangler-action,23,96,True
endbug/version-check,23,94,True
fountainhead/action-wait-for-check,23,78,True
py-actions/flake8,23,41,True
hynek/build-and-inspect-python-package,22,57,True
joncloud/makensis-action,22,56,True
irongut/codecoveragesummary,22,33,True
10up/action-wordpress-plugin-asset-update,22,37,True
rui314/setup-mold,22,84,False
py-actions/py-dependency-install,22,85,True
notiz-dev/github-action-json-property,22,92,True
maierj/fastlane-action,22,117,True
n1hility/cancel-previous-runs,22,117,True
cross-platform-actions/action,22,144,True
