action,replaced_by,raw_count,project_count,workflow_count
actions/setup-ruby,ruby/setup-ruby,457,282,363
erlef/setup-elixir,erlef/setup-beam,112,67,82
softprops/action-gh-release,ncipollo/release-action,44,33,37
warrenbuckley/Setup-MSBuild,microsoft/setup-msbuild,30,25,27
peaceiris/actions-gh-pages,actions/deploy-pages,22,22,22
nick-invision/retry,nick-fields/retry,144,21,38
actionshub/kitchen-dokken,actionshub/test-kitchen,20,20,20
engineerd/setup-kind,helm/kind-action,32,17,23
peaceiris/actions-gh-pages,actions/upload-pages-artifact,17,17,17
cachix/install-nix-action,DeterminateSystems/nix-installer-action,68,17,59
burrunan/gradle-cache-action,gradle/gradle-build-action,75,16,41
satackey/action-docker-layer-caching,jpribyl/action-docker-layer-caching,61,15,30
JamesIves/github-pages-deploy-action,peaceiris/actions-gh-pages,15,15,15
azure/docker-login,docker/login-action,16,15,16
elgohr/Publish-Docker-Github-Action,docker/build-push-action,23,15,17
imjasonh/setup-ko,ko-build/setup-ko,25,13,23
ncipollo/release-action,softprops/action-gh-release,21,12,13
peaceiris/actions-gh-pages,actions/configure-pages,11,11,11
JamesIves/github-pages-deploy-action,actions/deploy-pages,11,11,11
meeDamian/github-release,softprops/action-gh-release,10,10,10
marvinpinto/action-automatic-releases,softprops/action-gh-release,12,10,11
toolmantim/release-drafter,release-drafter/release-drafter,10,10,10
JamesIves/github-pages-deploy-action,actions/upload-pages-artifact,10,10,10
elgohr/Publish-Docker-Github-Action,docker/login-action,10,9,10
nanasess/setup-php,shivammathur/setup-php,16,9,13
actions-rs/install,baptiste0928/cargo-install,19,8,10
maxheld83/ghpages,peaceiris/actions-gh-pages,8,8,8
pascalgn/automerge-action,ahmadnassri/action-dependabot-auto-merge,7,7,7
peaceiris/actions-gh-pages,JamesIves/github-pages-deploy-action,8,7,7
jitterbit/get-changed-files,tj-actions/changed-files,13,6,12
maxheld83/ghpages,JamesIves/github-pages-deploy-action,6,6,6
DeLaGuardo/setup-graalvm,graalvm/setup-graalvm,8,6,7
numworks/setup-msys2,eine/setup-msys2,6,6,6
jaxxstorm/action-install-gh-release,GoTestTools/gotestfmt-action,33,6,27
ouuan/install-qt-action,jurplel/install-qt-action,14,6,8
ruby/setup-ruby,actions/setup-ruby,8,6,6
garronej/action-gh-release,softprops/action-gh-release,6,6,6
rhysd/github-action-benchmark,benchmark-action/github-action-benchmark,24,5,14
JamesIves/github-pages-deploy-action,actions/configure-pages,5,5,5
numworks/setup-msys2,msys2/setup-msys2,6,5,6
ncipollo/release-action,marvinpinto/action-automatic-releases,5,5,5
eine/setup-msys2,msys2/setup-msys2,5,5,5
docker/build-push-action,elgohr/Publish-Docker-Github-Action,5,5,5
brandedoutcast/publish-nuget,alirezanet/publish-nuget,12,5,5
microsoft/setup-msbuild,glennawatson/setup-msbuild,6,5,6
jurplel/install-qt-action,ouuan/install-qt-action,7,5,5
aliyun/acr-login,docker/login-action,14,5,14
marvinpinto/action-automatic-releases,svenstaro/upload-release-action,5,5,5
cachix/install-nix-action,nixbuild/nix-quick-install-action,6,4,6
softprops/action-gh-release,marvinpinto/action-automatic-releases,6,4,4
softprops/action-gh-release,mikepenz/action-gh-release,4,4,4
svenstaro/upload-release-action,ncipollo/release-action,4,4,4
tclindner/sentry-releases-action,getsentry/action-release,5,4,5
ayltai/setup-graalvm,graalvm/setup-graalvm,4,4,4
baptiste0928/cargo-install,actions-rs/install,8,4,5
rohith/publish-nuget,alirezanet/publish-nuget,6,4,4
pascalgn/npm-publish-action,JS-DevTools/npm-publish,4,4,4
marvinpinto/action-automatic-releases,ncipollo/release-action,4,4,4
fnkr/github-action-ghr,softprops/action-gh-release,6,4,5
meeDamian/github-release,marvinpinto/action-automatic-releases,4,4,4
brpaz/hadolint-action,hadolint/hadolint-action,4,4,4
actions/deploy-pages,peaceiris/actions-gh-pages,4,4,4
crazy-max/ghaction-github-pages,peaceiris/actions-gh-pages,4,4,4
crazy-max/ghaction-docker-buildx-bake,docker/bake-action,13,4,8
actions/upload-pages-artifact,peaceiris/actions-gh-pages,4,4,4
actions/upload-pages-artifact,JamesIves/github-pages-deploy-action,4,4,4
rohith/publish-nuget,brandedoutcast/publish-nuget,8,3,3
JamesIves/github-pages-deploy-action,crazy-max/ghaction-github-pages,3,3,3
plasmo-corp/bpp,PlasmoHQ/bpp,3,3,3
xt0rted/pull-request-comment-branch,alessbell/pull-request-comment-branch,3,3,3
seanmiddleditch/gha-setup-ninja,abdes/gha-setup-ninja,5,3,3
reactivecircus/android-emulator-runner,ReactiveCircus/android-emulator-runner,3,3,3
meeDamian/github-release,ncipollo/release-action,4,3,4
fiam/arm-none-eabi-gcc,carlosperate/arm-none-eabi-gcc-action,3,3,3
